Texto breve de material;Lote;Libre utilización;Valor libre util.;Restantes; Precio Unitario ;;;
7017733 - ALCOBA DB 1.40 MARBELLA LINO NATURAL OSC;3258910;1; $ 1.681.346 ;1; $ 1.681.346,00 ;;;
7017733 - ALCOBA DB 1.40 MARBELLA LINO NATURAL OSC;770067036;1; $ 1.681.346 ;1; $ 1.681.346,00 ;;;
7017196 - ALCOBA DB 1.40 OREGON LINO TAUPE/NATURAL;2913379;1; $ 1.990.744 ;1; $ 1.990.744,00 ;;;
7017196 - ALCOBA DB 1.40 OREGON LINO TAUPE/NATURAL;2945066;1; $ 1.990.744 ;1; $ 1.990.744,00 ;;;
7017196 - ALCOBA DB 1.40 OREGON LINO TAUPE/NATURAL;3229410;1; $ 1.990.744 ;1; $ 1.990.744,00 ;;;
7017196 - ALCOBA DB 1.40 OREGON LINO TAUPE/NATURAL;3508491;1; $ 1.990.744 ;1; $ 1.990.744,00 ;;;
7017196 - ALCOBA DB 1.40 OREGON LINO TAUPE/NATURAL;3713451;1; $ 1.990.744 ;1; $ 1.990.744,00 ;;;
7017196 - ALCOBA DB 1.40 OREGON LINO TAUPE/NATURAL;4274423;1; $ 1.990.744 ;1; $ 1.990.744,00 ;;;
7017196 - ALCOBA DB 1.40 OREGON LINO TAUPE/NATURAL;770072128;3; $ 5.972.231 ;3; $ 1.990.743,67 ;;;
7017196 - ALCOBA DB 1.40 OREGON LINO TAUPE/NATURAL;770076837;1; $ 1.990.744 ;1; $ 1.990.744,00 ;;;
7026671 - ALCOBA DBL 1.20 PIERO MARFIL/NATURAL;770092634;2; $ 1.652.193 ;2; $ 826.096,50 ;;;
7031713 - ALCOBA DBL 1.40 ALMEIRA GREIGE/CHAMPA;770096507;1; $ 946.524 ;0; $ 946.524,00 ;;;
7031713 - ALCOBA DBL 1.40 ALMEIRA GREIGE/CHAMPA;770100253;1; $ 946.524 ;1; $ 946.524,00 ;;;
022965 - ALCOBA DBL 1.40 DAYTONA CHAMP/CAT OTOÑO;1466096;1; $ 1.011.447 ;0; $ 1.011.447,00 ;;;
7031706 - ALCOBA DBL 1.40 DENZEL NATURAL;770091153;1; $ 1.330.982 ;1; $ 1.330.982,00 ;;;
7024380 - ALCOBA DBL 1.40 DENZEL NATURAL/OFF WHITE;770100253;1; $ 1.207.285 ;1; $ 1.207.285,00 ;;;
7021968 - ALCOBA DBL 1.40 LENNY MARFIL/NATURAL;4945630;1; $ 1.831.098 ;1; $ 1.831.098,00 ;;;
